Künstler;Jahr;Titel;Pack;Zugehörigkeit;YouTube-Link;Abspiel-Beginn (in Sekunden)
Alexander Wesselsky;2003;Yu-Gi-Oh Thema (Zeit für ein Duell);Anime-Songs (dt.);Yu-Gi-Oh GX;https://www.youtube.com/watch?v=U_QeQVF8bRo;16
Erika Bruhn;1992;Kickers;Anime-Songs (dt.);Kickers;https://www.youtube.com/watch?v=SnRNVuOzbws;0
Frank Schindel;2002;Der größte Träumer;Anime-Songs (dt.);Digimon Tamers;https://www.youtube.com/watch?v=e_yltrGk_BQ;24
Frank Schindel;2004;Die Hyper Spirit Digitation;Anime-Songs (dt.);Digimon Frontier;https://www.youtube.com/watch?v=9HPUXIicl3Y;25
Frank Schindel;2001;Ich werde da sein;Anime-Songs (dt.);Digimon Adventure 02;https://www.youtube.com/watch?v=eoOF1oEI7G8;13
Frank Schindel;2000;Leb' deinen Traum;Anime-Songs (dt.);Digimon Adventure;https://www.youtube.com/watch?v=ueIdxkZXAVw;16
Frank Schindel;2004;Wenn das Feuer in dir brennt;Anime-Songs (dt.);Digimon Frontier;https://www.youtube.com/watch?v=1hEdQlhMRhc;17
Frank Schindel;2000;Wir werden siegen;Anime-Songs (dt.);Digimon Adventure;https://www.youtube.com/watch?v=xE65h9cUrls;30
Fred Röttcher;2003;Grand Line;Anime-Songs (dt.);One Piece;https://www.youtube.com/watch?v=M2LqP-4XJfg;23
Fred Röttcher;2001;Jetzt ist es soweit;Anime-Songs (dt.);Digimon Adventure 02;https://www.youtube.com/watch?v=m8_weLNJV-0;21
Fred Röttcher;2002;Sei frei;Anime-Songs (dt.);Digimon Tamers;https://www.youtube.com/watch?v=wjEpPSHwq_g;25
Fred Röttcher;2002;Spiel dein Spiel;Anime-Songs (dt.);Digimon Tamers;https://www.youtube.com/watch?v=ISaD-CpcL9A;12
Fred Röttcher;2004;Wenn du willst;Anime-Songs (dt.);Digimon Frontier;https://www.youtube.com/watch?v=Sy_pAZMHw-M;28
Fred Röttcher;2001;Wir drehen auf;Anime-Songs (dt.);Digimon Adventure 02;https://www.youtube.com/watch?v=a6fMTu-0NoU;35
Gerry Köhler;2006;Fang an!;Anime-Songs (dt.);Yu-Gi-Oh GX;https://www.youtube.com/watch?v=Bxq9ZKc4P2w;0
Hendrik Illgner;2017;Unsere Zeit;Anime-Songs (dt.);Beyblade Burst;https://www.youtube.com/watch?v=ywZm5Z8iDxA;0
Noel Pix;2003;Die Legende;Anime-Songs (dt.);One Piece;https://www.youtube.com/watch?v=P7AMmmURw7Y&t=16s;30
Noel Pix;2006;Es geht nur um dich;Anime-Songs (dt.);Super-Kickers 2006;https://www.youtube.com/watch?v=dLOXHwUPlIw;16
Noel Pix;1999;Pokémon-Thema (Komm schnapp sie dir);Anime-Songs (dt.);Pokémon Staffel 1;https://www.youtube.com/watch?v=tbO6FJmEtWs;0
Petra Scheeser;2003;Du wirst niemals untergehen;Anime-Songs (dt.);One Piece;https://www.youtube.com/watch?v=4krP33lZnlE;35
Stephan Kämmerer;2019;Auf dem Weg;Anime-Songs (dt.);One Piece;https://www.youtube.com/watch?v=V7pB7mcGk8c;26
257ers;2016;Holz;Custom Basic;;https://www.youtube.com/watch?v=wjXUBG15eZ8;0
2raumwohnung;2007;36 Grad;Custom Basic;;https://www.youtube.com/watch?v=LAEmDTu8Xtw;20
3 Doors Down;2003;Here Without You;Custom Basic;;https://www.youtube.com/watch?v=27GX0ifCLaw;0
ABBA;1979;Gimme! Gimme! Gimme!;Custom Basic;;https://www.youtube.com/watch?v=j8B87_z_2tc;36
ABBA;1979;Voulez-Vous;Custom Basic;;https://www.youtube.com/watch?v=tmhFWw6tiAo;22
ABC;1982;The Look of Love, Pt. 1;Custom Basic;;https://www.youtube.com/watch?v=LjRRP84tTew;14
AC/DC;1980;Back In Black;Custom Basic;;https://www.youtube.com/watch?v=zjx0D1Ivy-Q;20
AC/DC;1980;Hells Bells;Custom Basic;;https://www.youtube.com/watch?v=xJR1oTDt1Ak;85
AC/DC;1979;Highway to Hell;Custom Basic;;https://www.youtube.com/watch?v=MjAMHH3vysA;18
AC/DC;1976;T.N.T.;Custom Basic;;https://www.youtube.com/watch?v=NhsK5WExrnE;21
Ace of Base;1998;Cruel Summer;Custom Basic;;https://www.youtube.com/watch?v=YYZwfssm7lc;27
Ace of Base;1995;Lucky love;Custom Basic;;https://www.youtube.com/watch?v=4SGmxbVkUcU;30
Ace of Base;1993;Wheel of fortune;Custom Basic;;https://www.youtube.com/watch?v=qoybSNHMtMY;0
Activate;1994;Beat of the drum;Custom Basic;;https://www.youtube.com/watch?v=1HmgyeGXJ_E;0
Activate;1993;Let the Rythum take control;Custom Basic;;https://www.youtube.com/watch?v=xqUcJWZVlEg;52
Activate;1994;Save me;Custom Basic;;https://www.youtube.com/watch?v=Cs09WC_JbNo;0
ADINA;2022;Schwarzes Konfetti;Custom Basic;;https://www.youtube.com/watch?v=wC0TyBC64Vo;3
Aerosmith;1998;I Don't Want to Miss a Thing;Custom Basic;;https://www.youtube.com/watch?v=JkK8g6FMEXE;30
Äffle und Pferdle;1997;Der Hafer- und Bananenblues;Custom Basic;;https://www.youtube.com/watch?v=nuN8FubxgiM;0
a-ha;1985;The Sun always shines on TV;Custom Basic;;https://www.youtube.com/watch?v=a3ir9HC9vYg;15
Alex C.;2007;Du hast den schönsten Arsch der Welt;Custom Basic;;https://www.youtube.com/watch?v=CQian1hYNaA;0
America;1982;The Last Unicorn;Custom Basic;;https://www.youtube.com/watch?v=b7IrVlyB4_k;17
AnnenMayKantereit;2013;Barfuß am Klavier;Custom Basic;;https://www.youtube.com/watch?v=tERRFWuYG48;0
Annett Louisann;2005;Das Gefühl;Custom Basic;;https://www.youtube.com/watch?v=K-IMNBCj15A;0
Annett Louisann;2004;Das Spiel;Custom Basic;;https://www.youtube.com/watch?v=z3gWmMJ5cO4;2
Annett Louisann;2008;Drück die 1;Custom Basic;;https://www.youtube.com/watch?v=7AMz5qFAteA;20
Antonia aus Tirol;2000;Ich bin viel schöner;Custom Basic;;https://www.youtube.com/watch?v=Vl-3TvG1ctY;0
Apache 207;2019;Roller;Custom Basic;;https://www.youtube.com/watch?v=a16qesvG4Ds;0
Aqua;2000;Around the World;Custom Basic;;https://www.youtube.com/watch?v=maUPpTiU-mo;0
Aqua;2000;Cartoon Heroes;Custom Basic;;https://www.youtube.com/watch?v=Q_LPJllaogU;45
Aqua;1997;Dr. Jones;Custom Basic;;https://www.youtube.com/watch?v=-1jPUB7gRyg;0
Arctic Monkeys;2007;505;Custom Basic;;https://www.youtube.com/watch?v=qU9mHegkTc4;10
